sec,m,c,L,bits
80,8192,2,107,108
80,16384,4,239,240
80,16384,2,179,180
80,32768,10,568,569
80,32768,5,511,512
80,32768,4,478,479
80,32768,3,454,455
80,32768,2,397,398
80,65536,20,1176,1178
80,65536,10,1117,1119
80,65536,8,1079,1081
80,65536,6,1058,1060
80,65536,5,1022,1024
80,65536,4,965,967
80,65536,3,908,910
80,65536,2,823,824
80,131072,41,2411,2416
80,131072,21,2352,2357
80,131072,15,2293,2298
80,131072,10,2234,2239
80,131072,8,2175,2180
80,131072,6,2117,2121
80,131072,5,2058,2062
80,131072,4,1940,1944
80,131072,3,1823,1826
80,131072,2,1646,1649
80,262144,82,4912,4912
80,262144,43,4852,4852
80,262144,30,4792,4792
80,262144,21,4732,4732
80,262144,18,4672,4672
80,262144,15,4612,4612
80,262144,12,4552,4552
80,262144,10,4492,4492
80,262144,8,4372,4372
80,262144,6,4253,4253
80,262144,5,4133,4133
80,262144,4,3953,3953
80,262144,3,3714,3714
80,262144,2,3293,3298
